STN,YYYYMMDD,FG
225,20181220,  105
225,20181221,  106
225,20181222,   85
225,20181223,   57
225,20181224,   44
225,20181225,   78
225,20181226,   80
225,20181227,   41
225,20181228,   46
225,20181229,  100
225,20181230,   58
