Gebied,Jaar,Waargenomen_bijen,LNG,LAT
Van Hogendorpstraat,1998,Gewone maskerbij - Resedamaskerbij - Tuinmaskerbij,4.8688371,52.382206599999996
Anthony Fokkerweg,1998,Donkere wespbij - Gewone geurgroefbij - Gewone wespbij - Meidoornzandbij - Rosse metselbij - Sierlijke wespbij - Witbaardzandbij,4.8442352,52.3453223
Abbenesstraat,1998,Witbaardzandbij,4.8466389,52.3481528
Katwijkstraat,1998,Witbaardzandbij,4.8464458,52.3510481
Valschermkade,1998,Fluitenkruidbij - Gewone geurgroefbij - Gewone wespbij - Meidoornzandbij - Rosse metselbij - Tweekleurige zandbij - Vosje - Witkopdwergzandbij,4.845072,52.3423583
Amstelkade,1998,Donkere wespbij - Gewone geurgroefbij - Gewone sachembij - Meidoornzandbij - Vosje,4.8973319,52.3479315
Graafschapstraat,1998,Glanzende dwergbloedbij - Witbaardzandbij,4.8942959,52.3391425
President Kennedylaan,1998,Gewone franjegroefbij,4.899800099999999,52.340405100000005
Bilderdijkkade,1998,Gewone maskerbij,4.8702309,52.3681838
Burg Venig Meineszlaan,1998,Grote bladsnijder - Tweekleurige zandbij,4.8308140999999996,52.382954299999994
Johan Huizingallaan,1998,Gewone franjegroefbij - Gewone geurgroefbij - Tweekleurige zandbij,4.828067099999999,52.3451659
Kortrijk,1998,Gewone geurgroefbij - Gewone maskerbij - Grasbij - Matte bandgroefbij - Tweekleurige zandbij,4.8016102,52.343914700000006
Lanakenstraat,1998,Gewone geurgroefbij - Grasbij,4.8068449,52.3467223
Mechelensingel,1998,Gewone geurgroefbij,4.80779,52.3471648
Oudenaardeplantsoen,1998,Gewone geurgroefbij - Gewone maskerbij - Grasbij - Matte bandgroefbij,4.802542900000001,52.3467719
Slotermeerlaan,1998,Gewone franjegroefbij - Gewone geurgroefbij - Parkbronsgroefbij - Tweekleurige zandbij,4.8197410000000005,52.3774764
Vrije Geer,1998,Dikkopbloedbij - Gewone geurgroefbij - Grasbij - Schoffelbloedbij - Tweekleurige zandbij,4.798240900000001,52.3454787
Spaarndammerdijk,1998,Gewone geurgroefbij - Tweekleurige zandbij,4.861841,52.3916365
Brinkstraat,1998,Grote bladsnijder - Tweekleurige zandbij,4.9453981,52.341782200000004
